match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,out/not_out,match_id
India Vs Australia,India,1,Rohit Sharma(c),c Head b Maxwell,47,31,4,3,151.61,out,ODI # 4662
India Vs Australia,India,2,Shubman Gill,c Zampa b Starc,4,7,0,0,57.14,out,ODI # 4662
India Vs Australia,India,3,Virat Kohli, b Cummins,54,63,4,0,85.71,out,ODI # 4662
India Vs Australia,India,4,Shreyas Iyer,c †Inglis b Cummins,4,3,1,0,133.33,out,ODI # 4662
India Vs Australia,India,5,KL Rahul†,c †Inglis b Starc,66,107,1,0,61.68,out,ODI # 4662
India Vs Australia,India,6,Ravindra Jadeja,c †Inglis b Hazlewood,9,22,0,0,40.90,out,ODI # 4662
India Vs Australia,India,7,Suryakumar Yadav,c †Inglis b Hazlewood,18,28,1,0,64.28,out,ODI # 4662
India Vs Australia,India,8,Mohammed Shami,c †Inglis b Starc,6,10,1,0,60.00,out,ODI # 4662
India Vs Australia,India,9,Jasprit Bumrah,lbw b Zampa,1,3,0,0,33.33,out,ODI # 4662
India Vs Australia,India,10,Kuldeep Yadav,run out (Labuschagne/Cummins),10,18,0,0,55.55,out,ODI # 4662
India Vs Australia,India,11,Mohammed Siraj,,9,8,1,0,112.50,not_out,ODI # 4662
India Vs Australia,Australia,1,David Warner,c Kohli b Mohammed Shami,7,3,1,0,233.33,out,ODI # 4662
India Vs Australia,Australia,2,Travis Head,c Shubman Gill b Mohammed Siraj,137,120,15,4,114.16,out,ODI # 4662
India Vs Australia,Australia,3,Mitchell Marsh,c †Rahul b Bumrah,15,15,1,1,100.00,out,ODI # 4662
India Vs Australia,Australia,4,Steven Smith,lbw b Bumrah,4,9,1,0,44.44,out,ODI # 4662
India Vs Australia,Australia,5,Marnus Labuschagne,,58,110,4,0,52.72,not_out,ODI # 4662
India Vs Australia,Australia,6,Glenn Maxwell,,2,1,0,0,200.00,not_out,ODI # 4662
South Africa Vs Australia,South Africa,1,Quinton de Kock†,c Cummins b Hazlewood,3,14,0,0,21.42,out,ODI # 4667
South Africa Vs Australia,South Africa,2,Temba Bavuma(c),c †Inglis b Starc,0,4,0,0,0.00,out,ODI # 4667
South Africa Vs Australia,South Africa,3,Rassie van der Dussen,c Smith b Hazlewood,6,31,0,0,19.35,out,ODI # 4667
South Africa Vs Australia,South Africa,4,Aiden Markram,c Warner b Starc,10,20,2,0,50.00,out,ODI # 4667
South Africa Vs Australia,South Africa,5,Heinrich Klaasen, b Head,47,48,4,2,97.91,out,ODI # 4667
South Africa Vs Australia,South Africa,6,David Miller,c Head b Cummins,101,116,8,5,87.06,out,ODI # 4667
South Africa Vs Australia,South Africa,7,Marco Jansen,lbw b Head,0,1,0,0,0.00,out,ODI # 4667
South Africa Vs Australia,South Africa,8,Gerald Coetzee,c †Inglis b Cummins,19,39,2,0,48.71,out,ODI # 4667
South Africa Vs Australia,South Africa,9,Keshav Maharaj,c Smith b Starc,4,8,0,0,50.00,out,ODI # 4667
South Africa Vs Australia,South Africa,10,Kagiso Rabada,c Maxwell b Cummins,10,12,0,1,83.33,out,ODI # 4667
South Africa Vs Australia,South Africa,11,Tabraiz Shamsi,,1,5,0,0,20.00,not_out,ODI # 4667
South Africa Vs Australia,Australia,1,Travis Head, b Maharaj,62,48,9,2,129.16,out,ODI # 4667
South Africa Vs Australia,Australia,2,David Warner, b Markram,29,18,1,4,161.11,out,ODI # 4667
South Africa Vs Australia,Australia,3,Mitchell Marsh,c van der Dussen b Rabada,0,6,0,0,0.00,out,ODI # 4667
South Africa Vs Australia,Australia,4,Steven Smith,c †de Kock b Coetzee,30,62,2,0,48.38,out,ODI # 4667
South Africa Vs Australia,Australia,5,Marnus Labuschagne,lbw b Shamsi,18,31,2,0,58.06,out,ODI # 4667
South Africa Vs Australia,Australia,6,Glenn Maxwell, b Shamsi,1,5,0,0,20.00,out,ODI # 4667
South Africa Vs Australia,Australia,7,Josh Inglis†, b Coetzee,28,49,3,0,57.14,out,ODI # 4667
South Africa Vs Australia,Australia,8,Mitchell Starc,,16,38,2,0,42.10,not_out,ODI # 4667
South Africa Vs Australia,Australia,9,Pat Cummins(c),,14,29,2,0,48.27,not_out,ODI # 4667
India Vs New Zealand,India,1,Rohit Sharma(c),c Williamson b Southee,47,29,4,4,162.06,out,ODI # 4678
India Vs New Zealand,India,2,Shubman Gill,,80,66,8,3,121.21,not_out,ODI # 4678
India Vs New Zealand,India,3,Virat Kohli,c Conway b Southee,117,113,9,2,103.53,out,ODI # 4678
India Vs New Zealand,India,4,Shreyas Iyer,c Mitchell b Boult,105,70,4,8,150.00,out,ODI # 4678
India Vs New Zealand,India,5,KL Rahul†,,39,20,5,2,195.00,not_out,ODI # 4678
India Vs New Zealand,India,6,Suryakumar Yadav,c Phillips b Southee,1,2,0,0,50.00,out,ODI # 4678
India Vs New Zealand,New Zealand,1,Devon Conway,c †Rahul b Mohammed Shami,13,15,3,0,86.66,out,ODI # 4678
India Vs New Zealand,New Zealand,2,Rachin Ravindra,c †Rahul b Mohammed Shami,13,22,3,0,59.09,out,ODI # 4678
India Vs New Zealand,New Zealand,3,Kane Williamson(c),c Yadav b Mohammed Shami,69,73,8,1,94.52,out,ODI # 4678
India Vs New Zealand,New Zealand,4,Daryl Mitchell,c Jadeja b Mohammed Shami,134,119,9,7,112.60,out,ODI # 4678
India Vs New Zealand,New Zealand,5,Tom Latham†,lbw b Mohammed Shami,0,2,0,0,0.00,out,ODI # 4678
India Vs New Zealand,New Zealand,6,Glenn Phillips,c Jadeja b Bumrah,41,33,4,2,124.24,out,ODI # 4678
India Vs New Zealand,New Zealand,7,Mark Chapman,c Jadeja b Kuldeep Yadav,2,5,0,0,40.00,out,ODI # 4678
India Vs New Zealand,New Zealand,8,Mitchell Santner,c Sharma b Mohammed Siraj,9,10,0,0,90.00,out,ODI # 4678
India Vs New Zealand,New Zealand,9,Tim Southee,c †Rahul b Mohammed Shami,9,10,1,0,90.00,out,ODI # 4678
India Vs New Zealand,New Zealand,10,Trent Boult,,2,2,0,0,100.00,not_out,ODI # 4678
